ID,MARCA,MODELLO,TIPOLOGIA,LAVORO,LpA dB(A),LWA dB(A),URL
28681,MAKITA,BFT042F,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1.5 kg                  Alimentazione:  Batteria 7,2V-10,8V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        70 ±3 dB dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=28681
28682,MAKITA,BFT043F,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1.5 kg                  Alimentazione:  Batteria 12V-36V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        70 ±3 dB dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=28682
27628,HILTI,SF 14-A,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  2.3 kg                  Alimentazione:  Batteria 12V-36V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        75 ±3 dB86 ±3 dBForatura nel metallo
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=27628
28683,MAKITA,BFT080F,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1.4 kg                  Alimentazione:  Batteria 7,2V-10,8V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        70 ±3 dB dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=28683
28684,MAKITA,BFT081F,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1.5 kg                  Alimentazione:  Batteria 12V-36V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        70 ±3 dB dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=28684
27663,"Hitachi Koki Co., Ltd",DS12DVB2,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1.9 kg                  Alimentazione:  Batteria 12V-36V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        71 ±3 dB82 ±3 dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=27663
1259,SPIT,SB120,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=1259
1258,SPIT,IDI 244,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=1258
1257,SPIT,HDI 244,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=1257
28691,MAKITA,BTD060,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  1 kg                  Alimentazione:  Batteria 7,2V-10,8V    
            
        	        Norma di riferimento: CEI EN 60745-1 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                    CEI EN 60745-1                
                
                Prescrizioni generali -  Sicurezza degli utensili elettrici a motore portatili – Parte 1:            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        90 ±3 dB101 ±3 dBSerraggio ad impulsi degli elementi di fissaggio alla capacità massima dell'utensile
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=28691
1179,DINO PAOLI,DP 250,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  9.35 kg                  Alimentazione:  Pneumatica    
            
        	        Norma di riferimento:  NON IDENTIFICATA 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                     NON IDENTIFICATA                
                
                            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        99.8 ±3 dB112.2 ±3 dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=1179
1180,DINO PAOLI,DP 196,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  5.1 kg                  Alimentazione:  Pneumatica    
            
        	        Norma di riferimento:  NON IDENTIFICATA 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                     NON IDENTIFICATA                
                
                            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        93.6 ±3 dB106 ±3 dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=1180
1181,DINO PAOLI,DP34,"Avvitatori e cacciaviti (diritti, a pistola, angolari, ad impulso o a cricchetto)                 Peso:  2.85 kg                  Alimentazione:  Pneumatica    
            
        	        Norma di riferimento:  NON IDENTIFICATA 		
		





	
    
        
            
                            
        
        
            
                Valori dichiarati ai sensi della norma                 
                     NON IDENTIFICATA                
                
                            
        
        
            
                Livello pressione acustica  LAeq(dBA)  ±K dB
            
            
                Potenza acustica  LWA(dB)  ±K dB
            
            Note
        

        88 dB dB
    

    
		
		

        
        
            
            
            Questo macchinario potrebbe avere anche dei rischi derivanti da:                
                    Vibrazioni Mano-Braccio",Dato Dichiarato / Non Specificato,Vedi scheda,,https://www.portaleagentifisici.it/fo_rumore_viewer_for_macchianario.php?lg=IT&objId=1181
